MSOA11CD,MSOA11NM,xcoord,ycoord
E02000302,Enfield 026,-0.09157,51.62522
E02000303,Enfield 027,-0.07025,51.62275
E02000304,Enfield 028,-0.12376,51.62316
E02000305,Enfield 029,-0.1071,51.62242
E02000306,Enfield 030,-0.04799,51.61843
E02000307,Enfield 031,-0.08314,51.62015
E02000308,Enfield 032,-0.13413,51.61543
E02000309,Enfield 033,-0.05202,51.61144
E02000311,Enfield 035,-0.09596,51.61287
E02000312,Enfield 036,-0.11546,51.6136
E02000313,Greenwich 001,0.11457,51.5025
E02000314,Greenwich 002,0.09834,51.50154
E02000315,Greenwich 003,0.11295,51.4938
E02000316,Greenwich 004,0.05301,51.49222
E02000317,Greenwich 005,0.05115,51.48883
E02000318,Greenwich 006,0.09558,51.48825
E02000319,Greenwich 007,0.08378,51.48844
E02000320,Greenwich 008,0.11421,51.48371
E02000321,Greenwich 009,0.07752,51.4862
E02000323,Greenwich 011,0.07039,51.48394
E02000324,Greenwich 012,0.04016,51.48226
E02000326,Greenwich 014,0.02713,51.48168
E02000327,Greenwich 015,0.05725,51.47962
E02000328,Greenwich 016,0.01369,51.48023
E02000329,Greenwich 017,0.08327,51.47154
E02000331,Greenwich 019,0.03924,51.47469
E02000332,Greenwich 020,0.06814,51.4713
E02000333,Greenwich 021,0.01875,51.4709
E02000334,Greenwich 022,0.03909,51.46843
E02000335,Greenwich 023,0.06363,51.46181
E02000337,Greenwich 025,0.04222,51.45855
E02000339,Greenwich 027,0.05852,51.45561
E02000340,Greenwich 028,0.06504,51.44795
E02000341,Greenwich 029,0.03511,51.4468
E02000342,Greenwich 030,0.07843,51.44401
E02000343,Greenwich 031,0.05309,51.43455
E02000344,Greenwich 032,0.06599,51.43268
E02000345,Hackney 001,-0.06875,51.57383
E02000346,Hackney 002,-0.09126,51.57095
E02000347,Hackney 003,-0.08192,51.57029
E02000348,Hackney 004,-0.06683,51.57005
E02000350,Hackney 006,-0.06727,51.56389
E02000351,Hackney 007,-0.09715,51.56445
E02000352,Hackney 008,-0.08541,51.56267
E02000353,Hackney 009,-0.07553,51.56123
E02000354,Hackney 010,-0.0611,51.55667
E02000355,Hackney 011,-0.05057,51.55682
E02000356,Hackney 012,-0.08511,51.5558
E02000357,Hackney 013,-0.03205,51.55636
E02000358,Hackney 014,-0.07555,51.55426
E02000359,Hackney 015,-0.04092,51.55226
E02000360,Hackney 016,-0.06424,51.55087
E02000361,Hackney 017,-0.05487,51.54758
E02000362,Hackney 018,-0.02779,51.54726
E02000363,Hackney 019,-0.04681,51.54681
E02000364,Hackney 020,-0.06691,51.5445
E02000365,Hackney 021,-0.07646,51.54343
E02000366,Hackney 022,-0.04407,51.54066
E02000367,Hackney 023,-0.05604,51.53865
E02000368,Hackney 024,-0.06759,51.53577
E02000369,Hackney 025,-0.07941,51.536
E02000370,Hackney 026,-0.09004,51.53239
E02000371,Hackney 027,-0.08153,51.52748
E02000372,Hammersmith and Fulham 001,-0.23771,51.52204
E02000373,Hammersmith and Fulham 002,-0.23494,51.51212
E02000374,Hammersmith and Fulham 003,-0.24179,51.51001
E02000375,Hammersmith and Fulham 004,-0.22439,51.50781
E02000376,Hammersmith and Fulham 005,-0.23039,51.50399
E02000377,Hammersmith and Fulham 006,-0.23999,51.50363
E02000378,Hammersmith and Fulham 007,-0.22062,51.50166
E02000379,Hammersmith and Fulham 008,-0.24594,51.50018
E02000380,Hammersmith and Fulham 009,-0.23051,51.49841
