s1,s2,score,distance,cluster
511,235,782,304,8
649,389,783,214,8
118,117,786,269,8
204,196,786,293,8
204,200,786,293,8
204,197,786,293,8
204,195,786,293,8
476,207,786,293,8
476,473,786,293,8
476,196,786,293,8
476,195,786,293,8
476,197,786,293,8
476,200,786,293,8
333,12,786,393,8
410,281,787,252,8
471,193,788,255,8
510,237,791,309,8
165,164,793,267,8
448,261,793,331,8
282,119,794,273,8
651,237,795,311,8
484,273,797,270,8
484,275,797,270,8
475,200,798,298,8
447,168,800,100,8
7,5,800,200,8
397,396,800,200,8
412,354,800,200,8
444,163,800,200,8
636,520,800,200,8
426,54,800,296,8
200,198,800,300,8
207,198,800,300,8
207,203,800,300,8
304,111,800,300,8
306,305,800,300,8
380,378,800,300,8
473,203,800,300,8
473,198,800,300,8
495,125,800,300,8
539,538,800,300,8
145,113,800,400,8
334,166,800,400,8
502,189,800,400,8
502,455,800,400,8
562,263,800,400,8
646,503,800,400,8
646,455,800,400,8
198,192,802,336,8
559,278,805,213,8
347,235,806,414,8
577,297,808,282,8
357,282,808,304,8
441,288,809,381,8
466,278,812,296,8
481,480,814,291,8
389,386,815,278,8
380,376,815,301,8
509,236,816,211,8
206,200,816,262,8
470,200,816,262,8
511,509,817,339,8
471,207,818,265,9
471,200,818,265,9
471,195,818,265,9
471,196,818,265,9
471,197,818,265,9
485,483,818,306,9
475,193,818,308,9
199,192,819,353,9
203,192,819,353,9
267,192,819,353,9
607,362,819,373,9
251,248,822,246,9
511,234,823,255,9
487,273,826,214,9
564,261,826,342,9
148,53,830,163,9
457,130,832,344,9
320,124,834,288,9
499,141,836,212,9
206,193,836,272,9
470,193,836,272,9
281,279,840,280,9
527,165,843,283,9
428,45,844,284,9
412,411,845,107,9
499,140,848,212,9
333,148,850,225,9
476,471,852,315,9
570,424,856,367,9
623,466,858,358,9
495,130,863,314,9
453,347,865,336,9
106,84,868,256,9
451,284,871,277,9
406,227,871,301,9
237,235,874,352,9
275,274,874,358,9
318,18,875,380,9
650,521,877,146,9
510,347,880,371,9
475,472,882,308,9
448,257,882,394,9
651,347,884,373,9
204,192,885,326,9
476,192,885,326,9
548,278,889,227,9
597,29,890,330,9
472,471,895,365,9
510,236,896,251,9
651,236,896,251,9
472,191,896,320,9
45,43,899,333,9
186,39,900,300,9
583,2,900,300,9
489,273,900,400,9
523,409,906,253,9
547,532,906,334,10
608,492,909,333,10
268,47,912,254,10
300,125,913,307,10
404,164,913,317,10
442,376,914,307,10
597,266,914,338,10
521,394,917,143,10
659,562,928,314,10
472,192,928,376,10
559,532,930,338,10
652,347,931,354,10
534,103,939,392,10
520,363,941,247,10
450,305,945,315,10
509,237,947,387,10
477,205,948,306,10
477,474,948,306,10
263,260,953,351,10
516,166,956,328,10
617,108,960,338,10
658,108,960,338,10
409,394,962,302,10
153,152,964,332,10
471,204,968,315,10
645,374,969,229,10
477,471,969,402,10
304,125,970,335,10
506,365,971,174,10
507,506,972,332,10
507,366,972,332,10
427,54,974,283,10
564,263,976,338,10
564,258,976,338,10
564,563,976,338,10
366,365,977,177,10
261,258,977,343,10
492,187,978,337,10
376,19,982,341,10
560,466,982,370,10
337,330,988,328,10
471,198,989,322,10
488,487,992,253,10
527,404,993,333,10
488,272,995,369,10
659,342,995,465,10
534,134,999,392,11
288,287,1000,400,11
537,305,1000,400,11
477,192,1002,413,11
7,6,1007,283,11
649,387,1013,340,11
548,532,1014,352,11
300,212,1023,321,11
313,2,1026,420,11
501,431,1030,365,11
403,163,1032,216,11
534,109,1033,353,11
665,325,1033,384,11
530,299,1038,364,11
168,166,1038,369,11
212,109,1044,331,11
291,287,1046,373,11
480,176,1047,260,11
477,204,1053,430,11
477,476,1053,430,11
270,115,1059,137,11
557,318,1060,402,11
558,318,1060,402,11
194,193,1070,390,11
205,193,1070,390,11
474,193,1070,390,11
477,198,1074,437,11
282,116,1080,380,11
47,45,1089,363,12
563,257,1092,366,12
475,191,1092,378,12
526,165,1096,368,12
426,47,1098,310,12
530,303,1098,384,12
243,219,1099,359,12
205,200,1100,400,12
454,19,1100,400,12
474,200,1100,400,12
474,473,1100,400,12
622,412,1102,298,12
186,182,1102,408,12
206,191,1110,342,12
470,191,1110,342,12
447,439,1116,116,12
480,452,1120,277,12
251,250,1122,335,12
237,234,1132,342,12
530,295,1137,397,12
409,387,1140,320,12
260,257,1148,394,12
579,399,1150,356,12
78,7,1153,296,12
557,321,1156,434,12
558,321,1156,434,12
357,116,1157,419,12
556,318,1160,352,12
488,484,1162,396,12
563,263,1164,382,12
486,271,1165,400,12
515,447,1174,334,12
578,399,1183,368,13
439,168,1192,192,13
212,134,1200,200,13
586,584,1210,205,13
586,585,1210,205,13
541,234,1212,357,13
563,342,1238,440,13
574,546,1239,213,13
643,314,1239,313,13
665,663,1243,401,13
510,348,1244,422,13
212,103,1245,215,13
526,404,1246,418,13
651,348,1248,424,13
556,321,1256,384,13
524,394,1261,287,13
106,2,1269,323,14
573,313,1284,442,14
12,7,1286,343,14
497,495,1289,271,14
388,386,1305,235,14
62,7,1309,284,14
342,260,1316,458,14
115,113,1319,317,14
513,288,1329,298,14
241,240,1345,459,14
600,497,1346,312,14
270,114,1359,237,15
516,439,1369,223,15
541,511,1396,391,15
116,114,1400,200,15
117,114,1400,200,15
348,237,1440,380,15
148,7,1536,268,16
428,427,1546,318,16
513,451,1580,308,16
357,126,1598,414,16
499,314,1639,413,17
270,146,1659,337,17
509,348,1667,361,17
427,47,1672,397,17
541,509,1674,307,17
236,235,1692,251,17
663,325,1714,238,17
607,363,1741,447,18
541,510,1794,347,18
541,235,1794,347,18
357,270,1809,251,19
348,236,1848,271,19
447,334,1900,300,20
236,234,2058,373,21
523,387,2066,433,21
589,584,2100,300,22
589,585,2100,300,22
513,284,2108,336,22
521,437,2256,256,23
464,463,2300,400,24
650,524,2362,281,25
354,353,2400,300,26
463,136,2400,300,26
587,585,2400,300,26
587,584,2400,300,26
588,587,2400,300,26
589,588,2400,300,26
598,355,2474,314,27
357,115,2498,314,27
439,334,2592,392,28
524,437,2600,400,28
348,235,3312,412,29
411,354,4059,356,30
