S1,S2,score
487,275,0.235
436,435,0.232967033
282,118,0.232750458
470,200,0.231539202
206,200,0.231539202
346,235,0.230873337
649,437,0.230665002
212,103,0.23
450,305,0.23
560,466,0.228908046
337,330,0.227121212
206,193,0.225752165
470,193,0.225752165
655,136,0.22525641
484,273,0.221477733
484,275,0.221477733
650,649,0.221241419
600,130,0.22030268
634,366,0.219482759
411,353,0.219065657
649,521,0.216263736
342,257,0.212857143
509,346,0.210401003
616,303,0.208711968
480,452,0.208232028
102,57,0.208028034
343,342,0.207884615
254,27,0.20778818
621,408,0.20752235
602,480,0.207402597
471,191,0.207250096
475,195,0.206406926
192,191,0.20574472
501,431,0.202307692
251,248,0.202173913
451,441,0.201216717
270,118,0.200254403
534,109,0.198034188
603,176,0.195672515
658,108,0.195626781
617,108,0.195626781
619,227,0.194534626
206,195,0.194502165
470,195,0.194502165
650,521,0.193922127
357,118,0.192857143
443,223,0.191650878
557,318,0.191601732
558,318,0.191601732
348,236,0.191129944
656,241,0.189350133
357,116,0.187894737
450,241,0.187527473
400,171,0.186470588
649,524,0.185009416
610,254,0.184563244
386,385,0.184318182
501,500,0.183846154
578,255,0.183846154
207,206,0.183246753
536,241,0.182421652
477,205,0.181904762
477,474,0.181904762
452,176,0.181047515
577,297,0.180813397
498,312,0.180496812
651,511,0.179657681
370,369,0.179414414
263,261,0.179131588
621,407,0.179074074
513,284,0.178333333
472,206,0.178133117
472,470,0.178133117
495,457,0.177647059
534,134,0.176111111
475,191,0.175952381
624,451,0.174917541
198,193,0.174086022
282,119,0.173401872
659,263,0.172857143
118,117,0.172738095
556,321,0.172566644
516,447,0.172542373
616,299,0.172503605
447,439,0.1725
656,242,0.171285897
389,386,0.171110616
198,197,0.170752688
198,196,0.170752688
198,195,0.170752688
516,515,0.169761905
314,140,0.168846154
426,43,0.168131868
524,389,0.167894737
235,234,0.167132867
343,260,0.165735294
307,241,0.165384615
511,510,0.16467149
470,191,0.164047619
206,191,0.164047619
426,268,0.163846154
534,300,0.163351648
225,223,0.162212144
622,353,0.161565657
609,27,0.161045943
555,248,0.160434783
450,307,0.159487734
659,448,0.157857143
481,480,0.157404799
536,450,0.157234081
509,234,0.156363636
350,349,0.155866873
509,236,0.15547777
118,115,0.155238095
624,288,0.154139621
659,562,0.152857143
346,237,0.151428571
403,163,0.15
