location,s1,s2,posMax
537_306,537,306,3
537_307,537,307,3
539_450,539,450,3
53_12,53,12,2
53_5,53,5,3
53_6,53,6,3
53_7,53,7,2
541_234,541,234,3
541_235,541,235,3
541_236,541,236,3
541_509,541,509,3
541_510,541,510,3
541_511,541,511,3
546_9,546,9,0
547_278,547,278,3
547_532,547,532,3
548_278,548,278,3
548_532,548,532,3
54_43,54,43,2
54_45,54,45,2
552_419,552,419,3
554_279,554,279,2
554_281,554,281,3
555_248,555,248,2
555_249,555,249,3
555_251,555,251,2
558_221,558,221,0
558_222,558,222,2
558_318,558,318,2
558_321,558,321,2
559_278,559,278,2
559_532,559,532,2
560_276,560,276,2
560_465,560,465,2
560_466,560,466,2
560_532,560,532,3
560_547,560,547,2
560_548,560,548,2
560_559,560,559,3
563_257,563,257,3
563_259,563,259,3
563_343,563,343,3
564_260,564,260,2
564_261,564,261,2
564_563,564,563,2
565_219,565,219,3
569_350,569,350,2
569_440,569,440,2
573_102,573,102,3
573_313,573,313,2
573_57,573,57,3
574_546,574,546,3
574_9,574,9,0
576_206,576,206,3
577_298,577,298,0
577_529,577,529,0
578_255,578,255,2
578_399,578,399,2
579_255,579,255,2
579_399,579,399,2
581_255,581,255,2
581_399,581,399,2
581_578,581,578,3
581_579,581,579,3
583_2,583,2,0
586_584,586,584,3
586_585,586,585,3
587_585,587,585,3
587_586,587,586,2
588_587,588,587,3
589_584,589,584,3
589_585,589,585,3
589_586,589,586,3
589_588,589,588,2
591_229,591,229,0
596_422,596,422,2
596_423,596,423,2
598_355,598,355,2
600_130,600,130,2
600_457,600,457,3
600_497,600,497,2
600_98,600,98,2
604_273,604,273,3
604_488,604,488,3
605_273,605,273,3
605_488,605,488,2
605_489,605,489,2
605_604,605,604,2
607_362,607,362,2
607_363,607,363,2
607_520,607,520,3
609_254,609,254,2
609_27,609,27,2
610_254,610,254,2
610_609,610,609,2
611_540,611,540,3
616_295,616,295,2
616_303,616,303,2
620_225,620,225,3
620_407,620,407,2
622_411,622,411,3
622_412,622,412,0
623_276,623,276,2
623_465,623,465,2
623_466,623,466,2
623_532,623,532,3
623_547,623,547,2
623_548,623,548,2
623_559,623,559,3
62_12,62,12,0
62_5,62,5,3
62_53,62,53,3
62_7,62,7,0
636_520,636,520,3
643_141,643,141,2
643_314,643,314,2
645_374,645,374,2
646_455,646,455,3
646_503,646,503,3
648_390,648,390,2
649_388,649,388,3
649_389,649,389,3
649_394,649,394,3
649_437,649,437,2
649_521,649,521,3
649_524,649,524,3
650_409,650,409,2
650_521,650,521,3
650_524,650,524,3
650_649,650,649,2
651_236,651,236,2
651_346,651,346,2
651_347,651,347,2
651_348,651,348,2
651_511,651,511,2
652_234,652,234,3
652_235,652,235,3
652_237,652,237,3
652_347,652,347,2
652_509,652,509,3
652_510,652,510,3
652_511,652,511,3
652_651,652,651,3
654_278,654,278,3
654_532,654,532,3
654_560,654,560,3
654_623,654,623,3
660_260,660,260,3
660_563,660,563,2
664_186,664,186,2
664_329,664,329,2
665_186,665,186,2
6_5,6,5,2
78_12,78,12,2
78_5,78,5,3
78_53,78,53,2
78_7,78,7,2
7_5,7,5,3
7_6,7,6,3
