fclass,name,id,address,city,region,postcode
pedestrian,Rose Street,897,"3-15 Rose Street, Edinburgh, EH2 2PR, Scotland",Edinburgh,Scotland,EH2 2PR
service,Rose Street North Lane,897,"3-15 Rose Street, Edinburgh, EH2 2PR, Scotland",Edinburgh,Scotland,EH2 2PR
service,Rose Street North Lane,841,"Hanover Buildings, 66 Rose Street, Edinburgh, EH2 2NN, Scotland",Edinburgh,Scotland,EH2 2NN
service,Rose Street North Lane,896,"Unit 6, 76 Rose Street, Edinburgh, EH2 2NN, Scotland",Edinburgh,Scotland,EH2 2NN
service,Rose Street North Lane,167,"158-162 Rose Street, Edinburgh, EH2 3JD, Scotland",Edinburgh,Scotland,EH2 3JD
unclassified,Princes Street,895,"54-60 Princes Street, Edinburgh, EH2 2DQ, Scotland",Edinburgh,Scotland,EH2 2DQ
unclassified,Princes Street,166,"120 Princes Street, Edinburgh, EH2 4AD, Scotland",Edinburgh,Scotland,EH2 4AD
secondary,Edinburgh Road,812,"53 High Street, South Queensferry, EH30 9HP, Scotland",South Queensferry,Scotland,EH30 9HP
footway,,828,"Unit a, Station Road, South Queensferry, EH30 9JU, Scotland",South Queensferry,Scotland,EH30 9JU
unclassified,George Street,447,"69 George Street, Edinburgh, EH2 2JG, Scotland",Edinburgh,Scotland,EH2 2JG
unclassified,Frederick Street,447,"69 George Street, Edinburgh, EH2 2JG, Scotland",Edinburgh,Scotland,EH2 2JG
unclassified,Argyle Street,259,"203-205 Argyle Street, Glasgow, G2 8BU, Scotland",Glasgow,Scotland,G2 8BU
unclassified,Queen Street,563,"St. Enoch Centre, 87-91 Argyle Street, Glasgow, G2 8BJ, Scotland",Glasgow,Scotland,G2 8BJ
pedestrian,Argyle Street,563,"St. Enoch Centre, 87-91 Argyle Street, Glasgow, G2 8BJ, Scotland",Glasgow,Scotland,G2 8BJ
pedestrian,Royal Bank Place,543,"113 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
unclassified,Union Street,259,"203-205 Argyle Street, Glasgow, G2 8BU, Scotland",Glasgow,Scotland,G2 8BU
unclassified,Union Street,564,"17 Union Street, Glasgow, G1 3RB, Scotland",Glasgow,Scotland,G1 3RB
pedestrian,Exchange Place,980,"95 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
pedestrian,Exchange Place,543,"113 Buchanan Street, Glasgow, G1 3HF, Scotland",Glasgow,Scotland,G1 3HF
unclassified,Jamaica Street,259,"203-205 Argyle Street, Glasgow, G2 8BU, Scotland",Glasgow,Scotland,G2 8BU
service,,828,"Unit a, Station Road, South Queensferry, EH30 9JU, Scotland",South Queensferry,Scotland,EH30 9JU
primary,North Bridge,232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN
primary,North Bridge,231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB
tertiary,High Street,232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN
tertiary,High Street,231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB
tertiary,St Vincent Street,659,"137 Buchanan Street, Glasgow, G1 2JA, Scotland",Glasgow,Scotland,G1 2JA
unclassified,Merchant Street,172,"25 George Iv Bridge, Edinburgh, EH1 1EN, Scotland",Edinburgh,Scotland,EH1 1EN
unclassified,High Street,232,"46 North Bridge, Edinburgh, EH1 1QN, Scotland",Edinburgh,Scotland,EH1 1QN
unclassified,High Street,231,"25 North Bridge, Edinburgh, EH1 1SB, Scotland",Edinburgh,Scotland,EH1 1SB
unclassified,Grassmarket,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
unclassified,Barnton Street,774,"79 Murray Place, Stirling, FK8 1AU, Scotland",Stirling,Scotland,FK8 1AU
unclassified,Upper Craigs,843,"1-7 Dumbarton Road, Stirling, FK8 2LQ, Scotland",Stirling,Scotland,FK8 2LQ
unclassified,King Street,773,"7 King Street, Stirling, FK8 1DN, Scotland",Stirling,Scotland,FK8 1DN
unclassified,King Street,976,"3-5 Murray Place, Stirling, FK8 1DQ, Scotland",Stirling,Scotland,FK8 1DQ
pedestrian,Port Street,843,"1-7 Dumbarton Road, Stirling, FK8 2LQ, Scotland",Stirling,Scotland,FK8 2LQ
pedestrian,Port Street,976,"3-5 Murray Place, Stirling, FK8 1DQ, Scotland",Stirling,Scotland,FK8 1DQ
unclassified,Station Road,828,"Unit a, Station Road, South Queensferry, EH30 9JU, Scotland",South Queensferry,Scotland,EH30 9JU
service,,935,"71 Port Dundas Road, Glasgow, G4 0HF, Scotland",Glasgow,Scotland,G4 0HF
secondary,High Street,826,"24 High Street, South Queensferry, EH30 9PP, Scotland",South Queensferry,Scotland,EH30 9PP
secondary,High Street,812,"53 High Street, South Queensferry, EH30 9HP, Scotland",South Queensferry,Scotland,EH30 9HP
service,,811,"7 Newhalls Road, South Queensferry, EH30 9TA, Scotland",South Queensferry,Scotland,EH30 9TA
service,,561,"Unit 1, Sauchiehall Centre, 179 Sauchiehall Street, Glasgow, G2 3ER, Scotland",Glasgow,Scotland,G2 3ER
residential,Shore Road,827,"9 Shore Road, South Queensferry, EH30 9RD, Scotland",South Queensferry,Scotland,EH30 9RD
pedestrian,George Street,519,"135 George Street, Aberdeen, AB25 1HU, Scotland",Aberdeen,Scotland,AB25 1HU
unclassified,Back Wynd,363,"5 Back Wynd, Aberdeen, AB10 1JN, Scotland",Aberdeen,Scotland,AB10 1JN
primary,Union Street,607,"202 Union Street, Aberdeen, AB10 1QS, Scotland",Aberdeen,Scotland,AB10 1QS
residential,Baker Street,930,"120 Rosemount Viaduct, Aberdeen, AB25 1NX, Scotland",Aberdeen,Scotland,AB25 1NX
service,Gaelic Lane,363,"5 Back Wynd, Aberdeen, AB10 1JN, Scotland",Aberdeen,Scotland,AB10 1JN
unclassified,Chapel Street,362,"26-28 Chapel Street, Aberdeen, AB10 1SP, Scotland",Aberdeen,Scotland,AB10 1SP
secondary,Thistle Street,362,"26-28 Chapel Street, Aberdeen, AB10 1SP, Scotland",Aberdeen,Scotland,AB10 1SP
service,Maxwell Street,260,"Unit 1, 92-96 Argyle Street, Glasgow, G2 8BQ, Scotland",Glasgow,Scotland,G2 8BQ
tertiary,Port Street,843,"1-7 Dumbarton Road, Stirling, FK8 2LQ, Scotland",Stirling,Scotland,FK8 2LQ
unclassified,Murray Place,774,"79 Murray Place, Stirling, FK8 1AU, Scotland",Stirling,Scotland,FK8 1AU
residential,Cairngorm Crescent,924,"7-13 Provost Watt Drive, Aberdeen, AB12 5BT, Scotland",Aberdeen,Scotland,AB12 5BT
residential,Mansefield Road,923,"225 Victoria Road, Aberdeen, AB11 9NQ, Scotland",Aberdeen,Scotland,AB11 9NQ
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
primary,,928,"45 St. Machar Drive, Aberdeen, AB24 3SE, Scotland",Aberdeen,Scotland,AB24 3SE
