s1,s2,vals,quad,countq
199,193,2,2,12
199,193,3,2,29
199,195,0,2,1
199,195,1,2,4
199,195,2,2,3
199,195,3,2,36
199,196,0,2,3
199,196,1,2,2
199,196,2,2,7
199,196,3,2,32
199,197,0,2,2
199,197,1,2,25
199,197,3,2,17
200,191,0,2,1
200,191,1,2,46
200,191,2,2,9
200,191,3,2,85
200,192,0,2,3
200,192,0,3,1
200,192,1,2,59
200,192,2,2,45
200,192,2,3,1
200,192,3,2,121
200,192,3,3,2
200,198,0,2,3
200,198,1,2,14
200,198,2,2,170
200,198,2,3,3
200,198,3,1,1
200,198,3,2,56
200,198,3,3,1
203,192,0,2,4
203,192,0,3,1
203,192,1,2,154
203,192,1,3,2
203,192,2,2,3
203,192,3,2,62
203,192,3,3,2
203,193,0,2,3
203,193,1,2,80
203,193,1,3,2
203,193,2,2,10
203,193,2,3,1
203,193,3,2,129
203,193,3,3,2
203,195,0,2,3
203,195,1,2,96
203,195,1,3,2
203,195,2,2,4
203,195,2,3,1
203,195,3,2,71
203,195,3,3,2
203,196,0,2,8
203,196,1,2,91
203,196,1,3,2
203,196,2,2,22
203,196,3,2,96
203,196,3,3,3
203,197,0,2,3
203,197,1,2,172
203,197,1,3,4
203,197,3,2,47
203,197,3,3,1
203,200,0,2,4
203,200,1,2,186
203,200,1,3,4
203,200,2,2,5
203,200,3,2,30
204,192,0,2,4
204,192,0,3,1
204,192,1,2,158
204,192,1,3,2
204,192,2,2,5
204,192,3,2,53
204,192,3,3,2
204,193,0,2,7
204,193,1,2,94
204,193,1,3,2
204,193,2,2,17
204,193,3,1,1
204,193,3,2,116
204,193,3,3,3
204,195,0,2,4
204,195,1,2,104
204,195,1,3,1
204,195,2,2,3
204,195,3,2,64
204,195,3,3,4
204,196,0,2,9
204,196,0,3,1
204,196,1,2,117
204,196,1,3,1
204,196,2,2,24
204,196,3,2,71
204,196,3,3,3
204,197,0,2,4
204,197,1,2,170
204,197,1,3,4
204,197,3,2,44
204,197,3,3,1
204,200,0,2,5
204,200,1,2,217
204,200,1,3,4
204,200,2,2,2
204,200,3,1,1
204,200,3,2,15
